fecha,division,mensual,12_m
2024-05-01,Alimentos y bebidas no alcohólicas,1.427,5.935
2024-05-01,Bebidas alcohólicas y tabaco,0.522,1.673
2024-05-01,Bienes y servicios diversos,1.102,6.852
2024-05-01,Comunicaciones,0.231,1.100
2024-05-01,Educación,-0.057,1.401
2024-05-01,"Muebles, bienes y servicios domésticos",0.522,3.594
2024-05-01,Prendas de vestir y calzado,0.205,1.219
2024-05-01,Recreación y cultura,0.215,3.483
2024-05-01,Salud,0.364,3.242
2024-05-01,Transporte,0.100,3.092
2024-05-01,Vivienda y servicios básicos,0.423,1.004
2024-06-01,Alimentos y bebidas consumidos fuera del hogar,0.433,1.993
2024-06-01,Alimentos y bebidas no alcohólicas,0.994,6.635
2024-06-01,Bebidas alcohólicas y tabaco,0.169,1.794
2024-06-01,Bienes y servicios diversos,0.653,7.169
2024-06-01,Comunicaciones,-0.148,1.092
2024-06-01,Educación,0.081,1.439
2024-06-01,"Muebles, bienes y servicios domésticos",0.242,3.024
2024-06-01,Prendas de vestir y calzado,0.438,1.510
2024-06-01,Recreación y cultura,0.222,3.917
2024-06-01,Salud,0.851,3.699
2024-06-01,Transporte,0.506,3.500
2024-06-01,Vivienda y servicios básicos,0.126,1.028
2024-07-01,Alimentos y bebidas consumidos fuera del hogar,0.457,2.310
2024-07-01,Alimentos y bebidas no alcohólicas,0.049,6.144
2024-07-01,Bebidas alcohólicas y tabaco,-0.068,1.308
2024-07-01,Bienes y servicios diversos,0.305,7.217
2024-07-01,Comunicaciones,0.909,2.115
2024-07-01,Educación,-0.028,1.513
2024-07-01,"Muebles, bienes y servicios domésticos",0.775,3.975
2024-07-01,Prendas de vestir y calzado,0.594,1.925
2024-07-01,Recreación y cultura,0.423,4.048
2024-07-01,Salud,0.405,3.940
2024-07-01,Transporte,2.069,3.860
2024-07-01,Vivienda y servicios básicos,0.219,1.119
2024-08-01,Alimentos y bebidas consumidos fuera del hogar,1.289,3.474
2024-08-01,Alimentos y bebidas no alcohólicas,1.745,6.679
2024-08-01,Bebidas alcohólicas y tabaco,1.251,2.772
2024-08-01,Bienes y servicios diversos,3.527,10.855
2024-08-01,Comunicaciones,0.962,3.290
2024-08-01,Educación,-0.004,1.397
2024-08-01,"Muebles, bienes y servicios domésticos",3.306,7.324
2024-08-01,Prendas de vestir y calzado,2.489,4.591
2024-08-01,Recreación y cultura,3.879,8.138
2024-08-01,Salud,1.291,5.210
2024-08-01,Transporte,-0.885,2.752
2024-08-01,Vivienda y servicios básicos,0.239,1.298
2024-09-01,Alimentos y bebidas consumidos fuera del hogar,1.021,4.411
2024-09-01,Alimentos y bebidas no alcohólicas,0.707,7.918
2024-09-01,Bebidas alcohólicas y tabaco,0.048,2.529
2024-09-01,Bienes y servicios diversos,2.863,14.086
2024-09-01,Comunicaciones,-0.085,3.129
2024-09-01,Educación,0.023,1.415
2024-09-01,"Muebles, bienes y servicios domésticos",2.279,9.804
2024-09-01,Prendas de vestir y calzado,1.443,6.102
2024-09-01,Recreación y cultura,0.766,9.163
2024-09-01,Salud,0.900,6.124
2024-09-01,Transporte,-0.160,1.998
2024-09-01,Vivienda y servicios básicos,0.175,1.406
2024-10-01,Alimentos y bebidas consumidos fuera del hogar,1.287,5.630
2024-10-01,Alimentos y bebidas no alcohólicas,3.597,11.938
2024-10-01,Bebidas alcohólicas y tabaco,1.210,3.516
2024-10-01,Bienes y servicios diversos,1.699,16.135
2024-10-01,Comunicaciones,-0.300,2.890
2024-10-01,Educación,0.099,1.544
2024-10-01,"Muebles, bienes y servicios domésticos",1.106,10.939
2024-10-01,Prendas de vestir y calzado,1.217,7.568
2024-10-01,Recreación y cultura,0.343,9.511
2024-10-01,Salud,1.306,7.469
2024-10-01,Transporte,0.754,2.738
2024-10-01,Vivienda y servicios básicos,0.290,1.481
2024-11-01,Alimentos y bebidas consumidos fuera del hogar,2.042,7.829
2024-11-01,Alimentos y bebidas no alcohólicas,2.592,14.819
2024-11-01,Bebidas alcohólicas y tabaco,0.986,4.889
2024-11-01,Bienes y servicios diversos,1.330,17.806
2024-11-01,Comunicaciones,0.166,2.882
2024-11-01,Educación,-0.049,1.502
2024-11-01,"Muebles, bienes y servicios domésticos",0.960,11.921
2024-11-01,Prendas de vestir y calzado,0.534,8.290
2024-11-01,Recreación y cultura,0.395,10.155
2024-11-01,Salud,0.775,8.145
2024-11-01,Transporte,1.255,3.948
2024-11-01,Vivienda y servicios básicos,0.467,1.917
2024-12-01,Alimentos y bebidas consumidos fuera del hogar,1.039,8.724
2024-12-01,Alimentos y bebidas no alcohólicas,1.545,15.396
2024-12-01,Bebidas alcohólicas y tabaco,1.501,5.446
2024-12-01,Bienes y servicios diversos,0.859,17.816
2024-12-01,Comunicaciones,0.372,3.088
2024-12-01,Educación,0.002,1.406
2024-12-01,"Muebles, bienes y servicios domésticos",1.203,13.091
2024-12-01,Prendas de vestir y calzado,1.585,9.352
2024-12-01,Recreación y cultura,0.192,10.239
2024-12-01,Salud,0.526,8.597
2024-12-01,Transporte,1.393,3.222
2024-12-01,Vivienda y servicios básicos,0.446,2.633
2025-01-01,Alimentos y bebidas consumidos fuera del hogar,1.443,10.150
2025-01-01,Alimentos y bebidas no alcohólicas,2.924,19.244
2025-01-01,Bebidas alcohólicas y tabaco,1.043,7.409
2025-01-01,Bienes y servicios diversos,2.117,19.801
2025-01-01,Comunicaciones,0.050,2.792
2025-01-01,Educación,1.397,1.713
2025-01-01,"Muebles, bienes y servicios domésticos",1.073,14.182
2025-01-01,Prendas de vestir y calzado,1.134,10.619
2025-01-01,Recreación y cultura,3.605,12.988
2025-01-01,Salud,1.008,9.229
2025-01-01,Transporte,2.247,5.535
2025-01-01,Vivienda y servicios básicos,0.869,3.608
2025-02-01,Alimentos y bebidas consumidos fuera del hogar,0.836,10.822
2025-02-01,Alimentos y bebidas no alcohólicas,1.838,21.471
2025-02-01,Bebidas alcohólicas y tabaco,0.688,8.761
2025-02-01,Bienes y servicios diversos,1.741,20.644
2025-02-01,Comunicaciones,0.154,2.598
2025-02-01,Educación,1.259,2.580
2025-02-01,"Muebles, bienes y servicios domésticos",0.636,14.239
2025-02-01,Prendas de vestir y calzado,0.969,11.471
2025-02-01,Recreación y cultura,1.520,13.481
2025-02-01,Salud,0.580,9.342
2025-02-01,Transporte,1.719,8.153
2025-02-01,Vivienda y servicios básicos,0.427,3.951
2025-03-01,Alimentos y bebidas consumidos fuera del hogar,1.384,12.115
2025-03-01,Alimentos y bebidas no alcohólicas,3.812,25.277
2025-03-01,Bebidas alcohólicas y tabaco,0.355,7.966
2025-03-01,Bienes y servicios diversos,1.152,20.283
2025-03-01,Comunicaciones,-0.011,2.391
2025-03-01,Educación,0.166,2.850
2025-03-01,"Muebles, bienes y servicios domésticos",0.698,13.829
2025-03-01,Prendas de vestir y calzado,0.677,11.944
2025-03-01,Recreación y cultura,-0.185,12.051
2025-03-01,Salud,0.788,9.444
2025-03-01,Transporte,1.615,10.701
2025-03-01,Vivienda y servicios básicos,0.410,4.175
2025-04-01,Alimentos y bebidas consumidos fuera del hogar,1.095,13.179
2025-04-01,Alimentos y bebidas no alcohólicas,0.451,23.873
2025-04-01,Bebidas alcohólicas y tabaco,1.326,9.399
2025-04-01,Bienes y servicios diversos,3.014,22.309
2025-04-01,Comunicaciones,0.567,2.896
2025-04-01,Educación,-0.063,2.846
2025-04-01,"Muebles, bienes y servicios domésticos",1.998,15.797
2025-04-01,Prendas de vestir y calzado,1.630,13.682
2025-04-01,Recreación y cultura,0.620,12.570
2025-04-01,Salud,1.864,11.182
2025-04-01,Transporte,-0.354,10.692
2025-04-01,Vivienda y servicios básicos,0.504,4.689
2025-05-01,Alimentos y bebidas consumidos fuera del hogar,2.130,15.436
