departamento,fecha,componente,inflacion_28d
la_paz,2024-09-08,Cuidado del Hogar,2.290
la_paz,2024-09-08,Fiambres,2.427
la_paz,2024-09-08,Frutas y Verduras,-2.982
la_paz,2024-09-08,Granos y Hortalizas,-0.398
la_paz,2024-09-08,Lácteos y Derivados,1.143
la_paz,2024-09-08,Panadería,0.967
la_paz,2024-09-08,Pastelería y Masas Típicas,0.927
santa_cruz,2024-09-08,Abarrotes,4.231
santa_cruz,2024-09-08,Bazar,5.145
santa_cruz,2024-09-08,Bebidas,1.341
santa_cruz,2024-09-08,Carnes,0.398
santa_cruz,2024-09-08,Compuesto,2.558
santa_cruz,2024-09-08,Congelados,4.011
santa_cruz,2024-09-08,Cuidado Personal,4.319
santa_cruz,2024-09-08,Cuidado del Bebé,7.868
santa_cruz,2024-09-08,Cuidado del Hogar,1.999
santa_cruz,2024-09-08,Farmacia Otc,0.000
santa_cruz,2024-09-08,Fiambres,2.601
santa_cruz,2024-09-08,Frutas y Verduras,0.201
santa_cruz,2024-09-08,Granos y Hortalizas,0.060
santa_cruz,2024-09-08,Lácteos y Derivados,1.001
santa_cruz,2024-09-08,Panadería,1.732
santa_cruz,2024-09-08,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-09,Abarrotes,3.130
cochabamba,2024-09-09,Bazar,1.078
cochabamba,2024-09-09,Bebidas,2.534
cochabamba,2024-09-09,Carnes,-1.123
cochabamba,2024-09-09,Compuesto,1.996
cochabamba,2024-09-09,Congelados,1.283
cochabamba,2024-09-09,Cuidado Personal,3.064
cochabamba,2024-09-09,Cuidado del Bebé,7.866
cochabamba,2024-09-09,Cuidado del Hogar,2.206
cochabamba,2024-09-09,Fiambres,2.066
cochabamba,2024-09-09,Frutas y Verduras,-1.051
cochabamba,2024-09-09,Granos y Hortalizas,0.150
cochabamba,2024-09-09,Lácteos y Derivados,0.786
cochabamba,2024-09-09,Panadería,1.831
cochabamba,2024-09-09,Pastelería y Masas Típicas,1.412
la_paz,2024-09-09,Abarrotes,3.085
la_paz,2024-09-09,Bazar,1.053
la_paz,2024-09-09,Bebidas,2.045
la_paz,2024-09-09,Carnes,-1.445
la_paz,2024-09-09,Compuesto,1.515
la_paz,2024-09-09,Congelados,0.939
la_paz,2024-09-09,Cuidado Personal,3.994
la_paz,2024-09-09,Cuidado del Bebé,7.232
la_paz,2024-09-09,Cuidado del Hogar,2.385
la_paz,2024-09-09,Fiambres,2.427
la_paz,2024-09-09,Frutas y Verduras,-2.982
la_paz,2024-09-09,Granos y Hortalizas,-0.398
la_paz,2024-09-09,Lácteos y Derivados,1.143
la_paz,2024-09-09,Panadería,0.940
la_paz,2024-09-09,Pastelería y Masas Típicas,0.434
santa_cruz,2024-09-09,Abarrotes,4.226
santa_cruz,2024-09-09,Bazar,2.212
santa_cruz,2024-09-09,Bebidas,1.355
santa_cruz,2024-09-09,Carnes,0.027
santa_cruz,2024-09-09,Compuesto,2.260
santa_cruz,2024-09-09,Congelados,4.005
santa_cruz,2024-09-09,Cuidado Personal,2.802
santa_cruz,2024-09-09,Cuidado del Bebé,6.752
santa_cruz,2024-09-09,Cuidado del Hogar,2.009
santa_cruz,2024-09-09,Farmacia Otc,0.000
santa_cruz,2024-09-09,Fiambres,2.601
santa_cruz,2024-09-09,Frutas y Verduras,0.201
santa_cruz,2024-09-09,Granos y Hortalizas,0.060
santa_cruz,2024-09-09,Lácteos y Derivados,1.001
santa_cruz,2024-09-09,Panadería,1.771
santa_cruz,2024-09-09,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-10,Abarrotes,3.098
cochabamba,2024-09-10,Bazar,0.908
cochabamba,2024-09-10,Bebidas,2.534
cochabamba,2024-09-10,Carnes,-1.127
cochabamba,2024-09-10,Compuesto,1.968
cochabamba,2024-09-10,Congelados,1.283
cochabamba,2024-09-10,Cuidado Personal,3.061
cochabamba,2024-09-10,Cuidado del Bebé,7.848
cochabamba,2024-09-10,Cuidado del Hogar,2.157
cochabamba,2024-09-10,Fiambres,2.075
cochabamba,2024-09-10,Frutas y Verduras,-1.429
cochabamba,2024-09-10,Granos y Hortalizas,0.150
cochabamba,2024-09-10,Lácteos y Derivados,0.753
cochabamba,2024-09-10,Panadería,1.831
cochabamba,2024-09-10,Pastelería y Masas Típicas,1.412
la_paz,2024-09-10,Abarrotes,3.070
la_paz,2024-09-10,Bazar,1.204
la_paz,2024-09-10,Bebidas,2.047
la_paz,2024-09-10,Carnes,-1.680
la_paz,2024-09-10,Compuesto,1.493
la_paz,2024-09-10,Congelados,0.939
la_paz,2024-09-10,Cuidado Personal,3.988
la_paz,2024-09-10,Cuidado del Bebé,7.232
la_paz,2024-09-10,Cuidado del Hogar,2.284
la_paz,2024-09-10,Fiambres,2.471
la_paz,2024-09-10,Frutas y Verduras,-3.080
la_paz,2024-09-10,Granos y Hortalizas,-0.398
la_paz,2024-09-10,Lácteos y Derivados,1.143
la_paz,2024-09-10,Panadería,0.940
la_paz,2024-09-10,Pastelería y Masas Típicas,0.434
santa_cruz,2024-09-10,Abarrotes,4.233
santa_cruz,2024-09-10,Bazar,2.221
santa_cruz,2024-09-10,Bebidas,1.379
santa_cruz,2024-09-10,Carnes,0.027
santa_cruz,2024-09-10,Compuesto,2.240
santa_cruz,2024-09-10,Congelados,4.011
santa_cruz,2024-09-10,Cuidado Personal,2.817
santa_cruz,2024-09-10,Cuidado del Bebé,6.950
santa_cruz,2024-09-10,Cuidado del Hogar,2.068
santa_cruz,2024-09-10,Farmacia Otc,0.000
santa_cruz,2024-09-10,Fiambres,2.282
